item_sku_id,dc_id,dist_type,para1,para2
405,1,G,1.987269193,1.21962783
405,0,G,3.259698276,1.429892142
405,2,G,0.765942482,2.190720767
405,4,G,2.381968536,1.729092558
405,3,N,2,0.765801354
405,5,G,0.477284461,1.527000394
684,0,G,0.6630625,2.632878065
684,2,N,1,0.683397683
684,4,G,0.427536232,2.338983051
684,3,G,0.072727273,0.93220339
684,1,G,0.352653272,1.778286761
684,5,N,1,0.856846473
767,3,G,1.372654156,1.185381356
767,4,G,2.485316073,3.362120535
767,2,G,1.908033473,2.682680436
767,5,G,1.4205702,2.52942117
767,1,G,1.845472441,3.444067797
767,0,G,2.044675187,9.532822402
853,3,G,0.919588381,4.6262408
853,0,G,2.141827149,20.11588366
853,2,G,1.930732927,5.802661607
853,1,G,2.022418618,9.897530102
853,4,G,1.859189272,11.1220339
853,5,G,1.937788291,2.239141949
490,3,N,1,0.339514066
490,0,G,1.368255134,4.40992192
490,2,G,0.673886516,1.182113235
490,1,G,0.683832252,3.469975787
490,5,N,1,0.71682243
490,4,G,0.696586939,1.751883239
709,5,N,1,0.662301216
709,3,N,1,0.380645161
709,2,G,0.334600072,2.178163185
709,4,G,0.998613312,1.205060874
709,0,G,0.767712372,1.457113508
709,1,N,2,0.736817761
837,1,G,0.36370882,1.724232707
837,4,N,1,0.558630736
837,2,G,0.471059662,1.655121592
837,0,G,0.588461538,1.468926554
837,5,G,0.281068641,3.196034538
837,3,N,1,0.423546303
345,1,N,1,0.234185066
345,5,N,1,0.24979645
345,3,N,1,0.186601495
345,2,N,1,0.192681951
345,0,N,1,0.179123631
345,4,N,1,0.222641509
947,3,N,3,0.87768595
947,4,G,1.994781784,1.232028054
947,1,G,1.696872494,0.918938836
947,5,G,0.484394904,1.364624076
947,0,G,2.451940299,1.534585433
947,2,G,0.382498296,2.968884392
868,0,G,0.742362525,1.232893911
868,5,N,1,0.774052478
868,2,G,0.211143695,0.963276836
868,1,G,0.576027397,0.853302162
868,4,N,22,0.979565773
868,3,G,0.113207547,0.898305085
588,4,G,0.870159151,1.577735928
588,5,G,0.3002079,2.145405888
588,1,G,0.726787774,1.655765099
588,0,G,1.125389678,1.716919417
588,2,G,0.312304891,2.659287444
588,3,N,1,0.580500894
278,4,G,0.618478627,2.87748184
278,0,G,1.409680352,5.951583633
278,3,N,1,0.181030593
278,1,G,0.86544447,2.957234257
278,5,G,0.204081633,0.830508475
278,2,G,0.425456688,1.51382694
695,2,N,1,0.705344585
695,4,G,0.666282421,1.729810568
695,3,N,3,0.934859155
695,0,G,0.614411502,2.896529459
695,5,N,2,0.678429818
695,1,G,0.701281568,1.474298416
474,3,N,1,0.602040816
474,5,N,1,0.684454756
474,4,G,0.55860477,2.002568053
474,2,G,0.311671655,2.936597615
474,0,G,1.148934868,2.021031795
474,1,G,0.340909091,2.983050847
276,0,G,1.653439153,1.281355932
276,1,G,1.108745247,0.825486503
276,2,G,0.674118659,1.407990315
276,4,G,0.889785624,1.60008071
276,5,N,1,0.738654147
276,3,G,0.378504673,0.806026365
8,3,G,0.072727273,0.93220339
8,0,G,0.463740458,0.986817326
8,1,G,0.340909091,0.745762712
8,2,G,0.134615385,0.881355932
8,4,N,1,0.578431373
8,5,G,0.156862745,0.86440678
142,2,G,0.34225,1.832340815
142,4,G,0.507215289,1.704220671
142,0,G,0.898771211,1.810381356
142,1,G,0.534347399,2.093477144
142,3,N,1,0.749546279
142,5,G,0.312934631,1.624858757
277,4,G,0.805768099,1.556573523
277,0,G,0.673821675,1.685302302
277,3,G,0.282608696,0.779661017
277,2,N,1,0.734744707
277,5,N,1,0.467429577
277,1,G,0.787878788,0.559322034
771,4,G,2.304362122,1.066510812
771,2,G,0.989828694,1.47260544
771,0,G,4.501405126,1.065580643
771,3,G,0.443674977,1.184253691
771,5,G,0.466944524,2.068986024
771,1,G,1.225972994,2.0322841
696,4,G,0.37437604,1.35819209
696,1,G,0.301180664,2.926336375
696,0,G,0.601691144,2.929595828
696,5,N,1,0.423444976
696,2,N,1,0.626231994
696,3,N,1,0.623513871
610,2,G,1.646798206,3.118532192
610,1,G,1.614106132,5.470835095
610,5,G,1.357481622,1.335973388
610,3,G,0.585477416,1.852754237
610,4,G,1.5229755,7.779151815
610,0,G,2.802063061,9.829319426
10,0,N,1,0.209426671
10,5,N,3,0.87768595
10,3,N,1,0.28527937
10,1,G,0.485460993,1.291800275
10,2,G,0.443105282,1.912542373
10,4,G,0.847969108,1.539071098
965,5,N,1,0.248421053
965,0,G,0.417972832,3.244067797
965,1,G,0.352083333,1.877444589
965,3,N,1,0.649
965,4,N,1,0.42565872
965,2,N,1,0.63898917
330,1,N,1,0.367913832
330,5,N,1,0.269311798
330,0,G,0.260355671,3.189899689
330,2,G,0.229166667,0.813559322
330,3,G,0.383628319,2.253240279
330,4,N,1,0.381700555
190,1,N,1,0.258262202
190,5,N,1,0.251331203
190,0,G,0.765354331,2.391713748
190,2,G,0.156862745,0.86440678
190,3,N,1,0.267487047
190,4,G,0.356859635,1.424858757
307,5,N,1,0.475327291
307,0,G,0.662727273,1.381042059
307,1,G,0.434027778,0.976271186
307,3,N,1,0.479320532
307,2,N,4,0.880071599
307,4,G,0.551552363,2.120363547
980,2,N,1,0.145367937
980,4,N,1,0.349526066
980,1,N,1,0.424024641
980,0,N,1,0.524777637
980,3,N,1,0.284565916
980,5,N,1,0.856846473
7,3,N,1,0.525080906
7,4,G,1.746881941,1.387459998
7,5,G,0.391729175,2.725854183
7,1,G,0.717989629,1.416384181
